day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-04-02.9,1.0,u10,2013-04-02,2013-04-02,24.0,24.0,8.315277777777778,0.0
2013-04-04.15,4.0,u10,2013-04-04,2013-04-04,24.0,24.0,7.034166666666667,0.0
2013-04-04.16,1.0,u10,2013-04-04,2013-04-04,24.0,24.0,7.034166666666667,0.0
2013-04-08.12,1.0,u10,2013-04-08,2013-04-08,24.0,24.0,4.283055555555555,1.0
2013-04-08.13,5.0,u10,2013-04-08,2013-04-08,24.0,24.0,4.283055555555555,1.0
2013-04-08.14,4.0,u10,2013-04-08,2013-04-08,24.0,24.0,4.283055555555555,1.0
2013-04-05.13,1.0,u10,2013-04-05,2013-04-05,24.0,24.0,6.128333333333333,0.0
2013-04-05.14,2.0,u10,2013-04-05,2013-04-05,24.0,24.0,6.128333333333333,0.0
2013-04-07.9,1.0,u10,2013-04-07,2013-04-07,24.0,24.0,2.551111111111111,1.0
2013-04-07.10,4.0,u10,2013-04-07,2013-04-07,24.0,24.0,2.551111111111111,1.0
2013-04-06.7,2.0,u10,2013-04-06,2013-04-06,24.0,24.0,3.3497222222222223,0.0
2013-04-06.8,4.0,u10,2013-04-06,2013-04-06,24.0,24.0,3.3497222222222223,0.0
2013-04-09.9,4.0,u10,2013-04-09,2013-04-09,24.0,24.0,4.910277777777778,0.0
2013-04-09.10,5.0,u10,2013-04-09,2013-04-09,24.0,24.0,4.910277777777778,0.0
2013-04-09.11,1.0,u10,2013-04-09,2013-04-09,24.0,24.0,4.910277777777778,0.0
2013-04-10.7,4.0,u10,2013-04-10,2013-04-10,24.0,24.0,5.743333333333333,0.0
2013-04-10.8,1.0,u10,2013-04-10,2013-04-10,24.0,24.0,5.743333333333333,0.0
2013-04-11.8,1.0,u10,2013-04-11,2013-04-11,24.0,24.0,6.316666666666666,0.0
2013-04-11.9,4.0,u10,2013-04-11,2013-04-11,24.0,24.0,6.316666666666666,0.0
2013-04-11.10,2.0,u10,2013-04-11,2013-04-11,24.0,24.0,6.316666666666666,0.0
